,Unnamed: 0,dyad_gameid,trial_num,turn_num,message_id,workerID,block,phrases,scene,tower,message_num,message,content,refExps,leftTarget,rightTarget,tower_pair,rep
64,64,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,0,1f3994bc-a013-e55e-3cd2-aad82997e899,0,3,"blue, two reds",0.0,0,0,"for left line, one blue block in middle of line and two red on top each other on left side of blue",blue two reds,,C,Pi,C_Pi,3
65,65,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,0,1f3994bc-a013-e55e-3cd2-aad82997e899,1,3,"one blue block, two red",0.0,0,0,"for left line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,C,Pi,C_Pi,3
66,66,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,2,f2b8fd15-94c7-cd9a-d28d-65a1adc786e7,0,1,blue,0.0,0,1,"for left red line, one blue block on top of highest red so faces right side",blue,,C,Pi,C_Pi,3
67,67,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,2,f2b8fd15-94c7-cd9a-d28d-65a1adc786e7,1,1,one blue block,0.0,0,1,"for left red line, one blue block on top of highest red so faces right side",one blue block,,C,Pi,C_Pi,3
68,68,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,4,28ec7c65-848d-77e3-c797-5813ba4e199c,0,2,one red block on left and right,0.0,0,2,"for right red line, one red block on left and right side of line so two spaces apart",one red block on left and right,,C,Pi,C_Pi,3
69,69,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,4,28ec7c65-848d-77e3-c797-5813ba4e199c,1,1,one red block,0.0,0,2,"for right red line, one red block on left and right side of line so two spaces apart",one red block,,C,Pi,C_Pi,3
70,70,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,6,eef7133a-a672-8c5c-7f25-943cf4634a81,0,1,blue,0.0,0,3,"for right red line, one blue block on each red block so blue blocks touch/meet",blue,,C,Pi,C_Pi,3
71,71,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,6,eef7133a-a672-8c5c-7f25-943cf4634a81,1,1,one blue block,0.0,0,3,"for right red line, one blue block on each red block so blue blocks touch/meet",one blue block,,C,Pi,C_Pi,3
72,72,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,0,39fa33cd-035e-4eb9-3e41-ca28a0c7bb90,0,3,"blue, two reds",0.0,0,0,"for right line, one blue block in middle of line and two red on top each other on left side of blue",blue two reds,,L,Pi,L_Pi,3
73,73,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,0,39fa33cd-035e-4eb9-3e41-ca28a0c7bb90,1,3,"one blue block, two red",0.0,0,0,"for right line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,L,Pi,L_Pi,3
